Account address,Show boosts,Notify on new posts,Languages
@aalmiray@mastodon.social,true,false,
@alexsnaps@mastodon.social,true,false,
@bazlur_rahman@mastodon.online,true,false,
@bclozel@mamot.fr,true,false,
@brianverm@mastodon.social,true,false,
@b0rk@mastodon.social,true,false,
@brunoborges@mastodon.social,true,false,
@chriswhocodes@mastodon.social,true,false,
@daschners@mastodon.social,true,false,
@delabassee@mastodon.cloud,true,false,
@evacchi@mastodon.social,true,false,
@evanchooly@mastodon.social,true,false,
@ewolff@mastodon.social,true,false,
@gbevin@mastodon.social,true,false,
@ascheman@mastodon.social,true,false,
@glv@mastodon.social,true,false,
@godin@mastodon.social,true,false,
@grobmeier@mastodon.social,true,false,
@yorgos_@mastodon.social,true,false,
@habuma@mastodon.social,true,false,
@hannotify@mastodon.social,true,false,
@hansolo_@mastodon.social,true,false,
@HeinzKabutz@mastodon.social,true,false,
@HelenJoScott@mastodon.social,true,false,
@holly_cummins@mastodon.social,true,false,
@icougil@mastodon.social,true,false,
@sepp@chaos.social,true,false,
@IvoNet@mastodon.social,true,false,
@ixchelruiz@mastodon.social,true,false,
@jddarcy@mastodon.social,true,false,
@jean_bisutti@mastodon.social,true,false,
@jeanneboyarsky@mastodon.social,true,false,
@jeff_dinkins@mastodon.social,true,false,
@joshbloch@mastodon.social,true,false,
@kaitoedter@mastodon.social,true,false,
@kittylyst@mastodon.social,true,false,
@ludovic_dev@mastodon.social,true,false,
@lukaseder@mastodon.social,true,false,
@marcandsweep@mastodon.social,true,false,
@mfowler@toot.thoughtworks.com,true,false,
@matkar@mastodon.social,true,false,
@maxandersen@mastodon.social,true,false,
@McPringle@mastodon.social,true,false,
@marcin_grzejszczak@mastodon.social,true,false,
@bondolo@mastodon.social,true,false,
@mreinhold@mastodon.social,true,false,
@mrhaki@mastodon.online,true,false,
@mkheck@mastodon.cloud,true,false,
@myfear@mastodon.online,true,false,
@MarioTorre@mastodon.social,true,false,
@nipafx@mastodon.social,true,false,
@noctarius2k@mastodon.online,true,false,
@odrotbohm@chaos.social,true,false,
@omniprof@mastodon.social,true,false,
@patbaumgartner@mastodon.social,true,false,
@philipp_hauer@mastodon.online,true,false,
@rafaelcodes@mastodon.social,true,false,
@reza_rahman@mastodon.online,true,false,
@rgransberger@mastodon.social,true,false,
@rjayasinghe@chaos.social,true,false,
@rotnroll666@mastodon.social,true,false,
@royvanrijn@mastodon.social,true,false,
@sparsick@mastodon.social,true,false,
@saturnism@mastodon.social,true,false,
@Sharat_Chander@mastodon.social,true,false,
@SimonMartinelli@mastodon.social,true,false,
@sippsack@mastodon.social,true,false,
@sormuras@mastodon.cloud,true,false,
@speakjava@mastodon.social,true,false,
@stilkov@mastodon.social,true,false,
@stuartmarks@mastodon.social,true,false,
@sureshg@mastodon.social,true,false,
@svenreimers@mastodon.social,true,false,
@svenruppert@mastodon.social,true,false,
@synec@mastodon.social,true,false,
@tastapod@mastodon.social,true,false,
@nurkiewicz@mastodon.social,true,false,
@tomsontom@mastodon.social,true,false,
@TonyPrintezis@mastodon.social,true,false,
@trishagee@mastodon.social,true,false,
